id,year,month,day,hour,minute,second,sensor1,sensor2
0,2018,10,11,0,21,14,446.0,396.0
1,2018,10,11,0,21,15,395.0,383.0
2,2018,10,11,0,21,15,378.0,370.0
3,2018,10,11,0,21,15,368.0,361.0
4,2018,10,11,0,21,15,361.0,354.0
5,2018,10,11,0,21,15,356.0,349.0
6,2018,10,11,0,21,15,353.0,346.0
7,2018,10,11,0,21,15,350.0,344.0
8,2018,10,11,0,21,15,347.0,341.0
9,2018,10,11,0,21,15,344.0,338.0
10,2018,10,11,0,21,15,340.0,334.0
11,2018,10,11,0,21,16,336.0,329.0
12,2018,10,11,0,21,16,332.0,325.0
13,2018,10,11,0,21,16,328.0,321.0
14,2018,10,11,0,21,16,325.0,319.0
15,2018,10,11,0,21,16,324.0,318.0
16,2018,10,11,0,21,16,325.0,319.0
17,2018,10,11,0,21,16,325.0,319.0
18,2018,10,11,0,21,16,326.0,321.0
19,2018,10,11,0,21,16,326.0,321.0
20,2018,10,11,0,21,16,325.0,320.0
21,2018,10,11,0,21,17,323.0,317.0
22,2018,10,11,0,21,17,320.0,314.0
23,2018,10,11,0,21,17,318.0,312.0
24,2018,10,11,0,21,17,317.0,311.0
25,2018,10,11,0,21,17,316.0,310.0
26,2018,10,11,0,21,17,317.0,311.0
27,2018,10,11,0,21,17,318.0,313.0
28,2018,10,11,0,21,17,320.0,315.0
29,2018,10,11,0,21,17,321.0,316.0
30,2018,10,11,0,21,17,321.0,316.0
31,2018,10,11,0,21,18,321.0,315.0
32,2018,10,11,0,21,18,319.0,313.0
33,2018,10,11,0,21,18,316.0,310.0
34,2018,10,11,0,21,18,314.0,308.0
35,2018,10,11,0,21,18,314.0,308.0
36,2018,10,11,0,21,18,314.0,308.0
37,2018,10,11,0,21,18,315.0,310.0
38,2018,10,11,0,21,18,317.0,312.0
39,2018,10,11,0,21,18,319.0,314.0
40,2018,10,11,0,21,18,320.0,315.0
41,2018,10,11,0,21,19,320.0,314.0
42,2018,10,11,0,21,19,319.0,313.0
43,2018,10,11,0,21,19,317.0,311.0
44,2018,10,11,0,21,19,315.0,308.0
45,2018,10,11,0,21,19,313.0,308.0
46,2018,10,11,0,21,19,313.0,308.0
47,2018,10,11,0,21,19,314.0,308.0
48,2018,10,11,0,21,19,316.0,311.0
49,2018,10,11,0,21,19,317.0,313.0
